No,D/P&BOM 코드,D/P&BOM 내역,설계기능,협력사,직영책임부서,최종 출도가능일자,출도실적
139,DPBOM000002913,Supp 제작,F3,,D5,2022-10-20,2022-07-02
140,DPBOM000002914,의장(설치),F4,,D6,2022-09-01,2022-07-09
141,DPBOM000002675,의장(설치),F4,,D6,2022-11-12,2022-07-09
142,DPBOM000002916,의장(설치),F4,,D6,2022-09-01,2022-07-09
143,DPBOM000002917,의장(설치),F4,,D6,2022-11-12,2022-07-09
144,DPBOM000002918,의장(설치),F4,,D6,2022-09-01,2022-07-09
145,DPBOM000002919,의장(설치),F4,,D6,2022-11-12,2022-07-09
146,DPBOM000002920,의장(설치),F4,,D6,2022-09-01,2022-07-09
147,DPBOM000002921,의장(설치),F4,,D6,2022-11-21,2022-07-09
148,DPBOM000002321,의장(설치),F6,,D8,2022-10-06,2022-06-26
149,DPBOM000002735,의장(설치),F6,,D8,2022-10-06,2022-07-22
150,DPBOM000002924,의장(설치),F6,,D8,2022-10-06,2022-06-26
151,DPBOM000002925,의장(설치),F6,,D8,2022-10-06,2022-08-29
152,DPBOM000002926,목의,F6,,D8,2022-09-09,2022-05-15
153,DPBOM000002927,의장(설치),F5,,D7,2022-10-03,
154,DPBOM000002928,의장(설치),F5,,D7,2022-12-01,
155,DPBOM000002929,의장(설치),F8,,D5,2022-10-02,2022-04-18
156,DPBOM000002930,의장(설치),F5,,D7,2022-10-03,2022-09-08
157,DPBOM000002931,철의장,F5,,D7,2022-09-08,2022-06-09
158,DPBOM000002686,의장(설치),F5,,D7,2022-11-12,2022-09-08
159,DPBOM000001732,철의장,F5,,D7,2022-10-20,2022-05-26
160,DPBOM000002696,의장(설치),F5,,D7,2022-12-23,2022-09-08
161,DPBOM000001850,철의장,F5,,D7,2022-11-28,2022-10-09
162,DPBOM000002936,의장(설치),F4,,D6,2022-10-03,2022-06-30
163,DPBOM000002937,의장(설치),F4,,D6,2022-10-03,2022-06-12
164,DPBOM000001854,의장(설치),F4,,D6,2022-11-12,2022-06-12
165,DPBOM000002939,의장(설치),F3,,D5,2022-09-01,2022-05-28
166,DPBOM000002940,제작,F3,,D5,2022-08-01,2022-05-13
167,DPBOM000002941,의장(설치),F4,,D6,2022-09-01,2022-07-09
168,DPBOM000002942,철의장,F4,,D6,2022-08-01,2022-03-13
169,DPBOM000002687,의장(설치),F4,,D6,2022-11-12,2022-07-09
170,DPBOM000001735,철의장,F4,,D6,2022-10-20,2022-04-14
171,DPBOM000002945,의장(설치),F5,,D7,2022-10-03,
172,DPBOM000002946,의장(설치),F5,,D7,2022-12-01,
173,DPBOM000002947,의장(설치),F4,,D6,2022-09-01,2022-07-09
174,DPBOM000002948,의장(설치),F4,,D6,2022-11-12,2022-07-09
175,DPBOM000002949,의장(설치),F5,,D7,2022-10-03,
176,DPBOM000002950,의장(설치),F5,,D7,2022-12-01,
177,DPBOM000002951,의장(설치),F4,,D6,2022-09-01,2022-07-09
178,DPBOM000002952,의장(설치),F4,,D6,2022-11-12,2022-07-09
179,DPBOM000002953,의장(설치),F4,,D6,2022-09-01,2022-08-22
180,DPBOM000002954,의장(설치),F5,,D7,2022-09-01,
181,DPBOM000002955,의장(설치),F5,,D7,2022-09-01,2022-08-22
182,DPBOM000002956,의장(설치),F6,,D8,2022-09-01,2022-07-22
183,DPBOM000002957,의장(설치),F6,,D8,2022-09-01,2022-06-19
184,DPBOM000002958,의장(설치),F6,,D8,2022-09-01,2022-05-12
185,DPBOM000002959,의장(설치),F6,,D8,2022-09-01,2022-06-19
186,DPBOM000002960,의장(설치),F6,,D8,2022-09-01,2022-07-22
187,DPBOM000002961,의장(설치),F6,,D8,2022-09-01,2022-08-29
188,DPBOM000002962,의장(설치),F5,,D7,2022-09-01,
189,DPBOM000002963,의장(설치),F4,,D6,2022-09-01,2022-07-09
190,DPBOM000002964,의장(설치),F4,,D6,2022-11-12,2022-07-09
191,DPBOM000002965,의장(설치),F4,,D6,2022-09-01,2022-07-09
192,DPBOM000002966,의장(설치),F6,,D8,2022-09-02,2022-06-26
193,DPBOM000002967,의장(설치),F6,,D8,2022-09-02,2022-07-22
194,DPBOM000002583,의장(설치),F6,,D8,2022-09-01,2022-06-19
195,DPBOM000002969,의장(설치),F6,,D8,2022-09-02,2022-07-22
196,DPBOM000002970,의장(설치),F5,,D7,2022-09-01,
197,DPBOM000002971,의장(설치),F5,,D7,2022-12-11,
198,DPBOM000002585,의장(설치),F5,,D7,2022-09-01,2022-09-01
199,DPBOM000001355,철의장,F5,,D7,2022-08-01,2022-06-19
200,DPBOM000002691,의장(설치),F5,,D7,2022-11-26,2022-11-26
201,DPBOM000001356,철의장,F5,,D7,2022-11-06,2022-09-26
202,DPBOM000002586,의장(설치),F5,,D7,2022-12-22,2022-12-19
203,DPBOM000001851,철의장,F5,,D7,2022-11-28,2022-10-24
204,DPBOM000002978,의장(설치),F4,,D6,2022-09-01,2022-06-12
205,DPBOM000002979,의장(설치),F4,,D6,2023-01-05,2022-06-12
206,DPBOM000001799,의장(설치),F9,,D8,2022-09-01,2022-06-09
207,DPBOM000002981,의장(설치),F3,,D5,2022-09-01,2022-07-30
208,DPBOM000002982,의장(설치),F2,,D4,2022-09-01,2022-05-12
209,DPBOM000001736,제작,F9,,D8,2022-08-01,2022-05-17
210,DPBOM000002984,제작,F3,,D5,2022-08-01,2022-05-08
211,DPBOM000002985,제작,F2,,D4,2022-08-01,2022-04-14
212,DPBOM000001737,Supp 제작,F9,,D8,2022-08-01,2022-05-17
213,DPBOM000002987,Supp 제작,F3,,D5,2022-08-01,2022-05-14
214,DPBOM000002988,Supp 제작,F2,,D4,2022-08-01,2022-04-14
215,DPBOM000001413,철의장,F9,,D8,2022-08-01,2022-03-31
216,DPBOM000001800,의장(설치),F9,,D8,2022-12-01,2022-06-09
217,DPBOM000001852,의장(설치),F3,,D5,2022-12-01,2022-07-30
218,DPBOM000001738,제작,F9,,D8,2022-11-06,2022-05-17
219,DPBOM000001739,제작,F3,,D5,2022-11-06,2022-05-08
220,DPBOM000001741,Supp 제작,F3,,D5,2022-11-06,2022-05-09
221,DPBOM000002587,의장(설치),F6,,D8,2022-09-01,2022-08-29
222,DPBOM000002996,의장(설치),F4,,D6,2022-09-01,2022-08-01
223,DPBOM000001199,철의장,F6,,D8,2022-08-01,2022-05-29
224,DPBOM000002998,철의장,F4,,D6,2022-08-01,2022-05-01
225,DPBOM000002692,의장(설치),F6,,D8,2022-12-01,2022-08-29
226,DPBOM000002694,의장(설치),F4,,D6,2022-12-01,2022-08-01
227,DPBOM000001743,철의장,F6,,D8,2022-11-06,2022-05-29
228,DPBOM000003002,의장(설치),F9,,D8,2022-09-01,2022-06-09
229,DPBOM000003003,철의장,F9,,D8,2022-08-01,2022-03-31
230,DPBOM000001801,의장(설치),F9,,D8,2022-12-01,2022-06-09
231,DPBOM000003005,의장(설치),F5,,D7,2022-09-01,
232,DPBOM000003006,의장(설치),F5,,D7,2022-09-01,
233,DPBOM000001802,의장(설치),F9,,D8,2022-09-01,2022-06-23
234,DPBOM000001746,제작,F9,,D8,2022-08-01,2022-05-26
235,DPBOM000001747,Supp 제작,F9,,D8,2022-08-01,2022-05-26
236,DPBOM000003010,철의장,F9,,D8,2022-08-01,2022-06-19
237,DPBOM000001803,의장(설치),F9,,D8,2022-12-03,2022-06-23
238,DPBOM000001787,의장(설치),F9,,D8,2022-09-01,2022-06-23
239,DPBOM000001414,철의장,F9,,D8,2022-08-01,2022-05-26
240,DPBOM000003014,의장(설치),F9,,D8,2022-12-03,2022-06-23
241,DPBOM000003015,의장(설치),F5,,D7,2022-09-25,
242,DPBOM000003016,의장(설치),F5,,D7,2023-01-21,
243,DPBOM000003017,의장(설치),F7,,D3,2022-12-01,2022-04-28
244,DPBOM000002689,의장(설치),F5,,D7,2022-11-18,2022-07-26
245,DPBOM000001755,철의장,F5,,D7,2022-10-24,2022-05-21
246,DPBOM000003020,의장(설치),F2,,D4,2022-09-25,2022-07-11
247,DPBOM000003021,제작,F2,,D4,2022-09-01,2022-07-11
248,DPBOM000002665,의장(설치),F2,,D4,2022-11-18,2022-04-28
249,DPBOM000003023,제작,F2,,D4,2022-10-24,2022-03-25
250,DPBOM000003024,Supp 제작,F2,,D4,2022-10-24,2022-03-27
251,DPBOM000003025,의장(설치),F1,D1,D3,2022-09-25,2022-05-06
252,DPBOM000003026,철의장,F1,D1,D3,2022-09-01,2022-03-17
253,DPBOM000002666,의장(설치),F1,D1,D3,2022-11-18,2022-05-06
254,DPBOM000003028,철의장,F1,D1,D3,2022-10-24,2022-03-21
255,DPBOM000003029,의장(설치),F7,,D3,2022-11-26,2022-05-16
256,DPBOM000003030,의장(설치),F5,,D7,2022-10-08,
257,DPBOM000003031,의장(설치),F5,,D7,2022-11-12,
258,DPBOM000003032,의장(설치),F5,,D7,2022-11-12,
259,DPBOM000003033,의장(설치),F5,,D7,2022-11-12,
260,DPBOM000003034,의장(설치),F5,,D7,2022-10-10,
261,DPBOM000003035,의장(설치),F7,,D3,2022-10-10,2022-04-01
262,DPBOM000003036,의장(설치),F1,D1,D3,2022-10-10,2022-04-25
263,DPBOM000003037,철의장,F1,D1,D3,2022-09-16,2022-04-08
264,DPBOM000003038,의장(설치),F7,,D3,2022-10-16,2022-04-01
265,DPBOM000003039,의장(설치),F1,D1,D3,2022-10-16,2022-04-08
266,DPBOM000003040,철의장,F1,D1,D3,2022-09-22,2022-04-08
267,DPBOM000003041,의장(설치),F1,D1,D3,2022-10-15,2022-04-25
268,DPBOM000003042,철의장,F1,D1,D3,2022-09-19,2022-04-08
269,DPBOM000003043,의장(설치),F7,,D3,2022-10-08,2022-04-01
270,DPBOM000003044,의장(설치),F1,D1,D3,2022-10-08,2022-04-28
271,DPBOM000003045,철의장,F1,D1,D3,2022-09-11,2022-04-08
272,DPBOM000003046,의장(설치),F1,D1,D3,2022-09-25,2022-04-25
273,DPBOM000003047,철의장,F1,D1,D3,2022-09-01,2022-04-08
274,DPBOM000003048,의장(설치),F7,,D3,2022-10-02,2022-04-01
275,DPBOM000003049,의장(설치),F1,D1,D3,2022-10-02,2022-04-28
276,DPBOM000003050,철의장,F1,D1,D3,2022-09-05,2022-04-08
277,DPBOM000003051,의장(설치),F5,,D7,2022-11-12,
278,DPBOM000002767,의장(설치),F7,,D3,2023-01-05,2022-09-16
279,DPBOM000001687,철의장,F7,,D3,2022-12-11,2022-05-20
280,DPBOM000002690,의장(설치),F5,,D7,2022-11-12,2022-11-03
281,DPBOM000001760,철의장,F5,,D7,2022-10-20,2022-05-16
282,DPBOM000002710,의장(설치),F2,,D4,2022-11-12,2022-11-04
283,DPBOM000002711,의장(설치),F1,D1,D3,2022-11-13,2022-06-23
284,DPBOM000001810,의장(설치),F1,D1,D3,2022-11-13,2022-06-23
285,DPBOM000003059,의장(설치),F1,D1,D3,2022-12-23,2022-06-23
286,DPBOM000001812,의장(설치),F1,D1,D3,2022-12-23,2022-06-23
287,DPBOM000003061,의장(설치),F1,,D3,2022-12-23,2022-06-30
288,DPBOM000000357,의장(설치),F2,,D4,2023-01-21,
289,DPBOM000003063,의장(설치),F5,,D7,2022-10-08,
290,DPBOM000002644,의장(설치),F2,,D4,2022-12-02,2022-11-18
291,DPBOM000003065,의장(설치),F1,D1,D3,2022-10-08,2022-06-19
292,DPBOM000003066,의장(설치),F1,D1,D3,2022-10-08,2022-06-23
293,DPBOM000003067,의장(설치),F1,D1,D3,2022-12-08,2022-06-19
294,DPBOM000001813,의장(설치),F1,D1,D3,2022-12-08,2022-06-23
295,DPBOM000001762,철의장,F1,D1,D3,2022-11-13,2022-03-27
296,DPBOM000003070,의장(설치),F5,,D7,2022-10-14,
297,DPBOM000002649,의장(설치),F2,,D4,2022-11-26,2022-11-18
298,DPBOM000003072,의장(설치),F1,D1,D3,2022-10-14,2022-06-23
299,DPBOM000003073,철의장,F1,D1,D3,2022-09-18,2022-03-27
300,DPBOM000001814,의장(설치),F1,D1,D3,2022-12-01,2022-06-23
301,DPBOM000001763,철의장,F1,D1,D3,2022-11-06,2022-03-27
302,DPBOM000003076,의장(설치),F5,,D7,2022-10-13,
303,DPBOM000003077,의장(설치),F5,,D7,2022-12-17,
304,DPBOM000002650,의장(설치),F2,,D4,2022-11-27,2022-11-18
305,DPBOM000003079,의장(설치),F1,D1,D3,2022-10-13,2022-06-23
306,DPBOM000001815,의장(설치),F1,D1,D3,2022-12-01,2022-06-23
307,DPBOM000001764,철의장,F1,D1,D3,2022-11-06,2022-03-27
308,DPBOM000003082,의장(설치),F5,,D7,2022-10-08,
309,DPBOM000002645,의장(설치),F2,,D4,2022-11-26,2022-11-18
310,DPBOM000003084,의장(설치),F1,D1,D3,2022-10-08,2022-06-23
311,DPBOM000001816,의장(설치),F1,D1,D3,2022-12-01,2022-06-23
312,DPBOM000001765,철의장,F1,D1,D3,2022-11-06,2022-03-27
313,DPBOM000003087,의장(설치),F5,,D7,2022-09-25,
314,DPBOM000002624,의장(설치),F2,,D4,2022-11-21,2022-11-18
315,DPBOM000003089,의장(설치),F1,D1,D3,2022-09-25,2022-06-23
316,DPBOM000003090,철의장,F1,D1,D3,2022-09-01,2022-03-27
317,DPBOM000001817,의장(설치),F1,D1,D3,2022-11-26,2022-06-23
318,DPBOM000001767,철의장,F1,D1,D3,2022-11-03,2022-03-27
319,DPBOM000003093,의장(설치),F5,,D7,2022-09-24,
320,DPBOM000003094,의장(설치),F5,,D7,2022-12-31,
321,DPBOM000003095,의장(설치),F7,,D3,2022-09-24,2022-09-16
322,DPBOM000003096,의장(설치),F5,,D7,2022-12-19,2022-11-03
323,DPBOM000003097,철의장,F5,,D7,2022-11-28,2022-09-16
324,DPBOM000003098,의장(설치),F2,,D4,2022-09-24,2022-09-20
325,DPBOM000002625,의장(설치),F2,,D4,2022-11-21,2022-11-18
326,DPBOM000001768,제작,F2,,D4,2022-11-03,2022-06-20
327,DPBOM000001769,Supp 제작,F2,,D4,2022-11-03,2022-06-20
328,DPBOM000003102,의장(설치),F1,D1,D3,2022-09-24,2022-06-19
329,DPBOM000003103,의장(설치),F1,D1,D3,2022-09-24,2022-06-23
330,DPBOM000003104,의장(설치),F1,D1,D3,2022-09-24,2022-06-11
331,DPBOM000003105,철의장,F1,D1,D3,2022-08-29,2022-04-24
332,DPBOM000003106,의장(설치),F1,D1,D3,2022-11-26,2022-06-19
333,DPBOM000001818,의장(설치),F1,D1,D3,2022-11-26,2022-06-23
334,DPBOM000001770,철의장,F1,D1,D3,2022-11-03,2022-03-27
335,DPBOM000003109,의장(설치),F5,,D7,2022-10-20,
336,DPBOM000003110,의장(설치),F5,,D7,2022-12-17,
337,DPBOM000003111,의장(설치),F5,,D7,2022-12-22,
338,DPBOM000003112,의장(설치),F5,,D7,2022-10-20,2022-10-16
339,DPBOM000003113,철의장,F5,,D7,2022-09-24,2022-06-25
340,DPBOM000003114,의장(설치),F5,,D7,2022-11-26,2022-11-17
341,DPBOM000003115,철의장,F5,,D7,2022-11-06,2022-05-12
342,DPBOM000003116,의장(설치),F2,,D4,2022-10-22,2022-04-18
343,DPBOM000003117,제작,F2,,D4,2022-09-24,2022-09-17
344,DPBOM000003118,Supp 제작,F2,,D4,2022-09-24,2022-09-17
345,DPBOM000003119,의장(설치),F2,,D4,2022-12-01,2022-04-18
346,DPBOM000003120,의장(설치),F1,D1,D3,2022-10-22,2022-04-23
347,DPBOM000003121,의장(설치),F1,D1,D3,2022-10-22,2022-04-23
348,DPBOM000003122,철의장,F1,D1,D3,2022-09-24,2022-03-11
349,DPBOM000003123,의장(설치),F1,D1,D3,2022-12-01,2022-04-23
350,DPBOM000003124,의장(설치),F1,D1,D3,2022-12-01,2022-04-23
351,DPBOM000003125,의장(설치),F5,,D7,2022-10-20,
352,DPBOM000003126,의장(설치),F5,,D7,2022-11-03,
353,DPBOM000003127,의장(설치),F7,,D3,2022-11-04,2022-04-01
354,DPBOM000003128,의장(설치),F5,,D7,2022-11-03,2022-10-31
355,DPBOM000003129,철의장,F5,,D7,2022-10-09,2022-07-30
356,DPBOM000003130,의장(설치),F5,,D7,2022-11-25,2022-11-13
357,DPBOM000003131,철의장,F5,,D7,2022-11-06,2022-08-05
358,DPBOM000003132,의장(설치),F2,,D4,2022-12-01,2022-05-23
359,DPBOM000003133,의장(설치),F1,D1,D3,2022-11-03,2022-06-19
360,DPBOM000003134,의장(설치),F1,D1,D3,2022-11-03,2022-08-22
361,DPBOM000003135,철의장,F1,D1,D3,2022-10-09,2022-08-22
362,DPBOM000003136,의장(설치),F1,D1,D3,2022-12-01,2022-08-22
363,DPBOM000003137,의장(설치),F1,D1,D3,2022-12-01,2022-06-19
364,DPBOM000001819,의장(설치),F1,D1,D3,2022-12-01,2022-08-22
365,DPBOM000003139,철의장,F1,D1,D3,2022-11-06,2022-05-21
366,DPBOM000003140,의장(설치),F6,,D8,2022-10-20,2022-06-26
367,DPBOM000003141,의장(설치),F6,,D8,2022-10-20,2022-06-19
368,DPBOM000003142,의장(설치),F6,,D8,2022-10-20,2022-07-22
369,DPBOM000003143,의장(설치),F6,,D8,2022-10-20,2022-06-26
370,DPBOM000003144,의장(설치),F6,,D8,2022-10-20,2022-08-29
371,DPBOM000003145,목의,F6,,D8,2022-09-24,2022-06-02
372,DPBOM000003146,의장(설치),F5,,D7,2022-10-20,
373,DPBOM000003147,의장(설치),F5,,D7,2022-10-20,2022-10-10
374,DPBOM000003148,철의장,F5,,D7,2022-09-24,2022-08-06
375,DPBOM000003149,의장(설치),F5,,D7,2022-11-25,2022-11-13
376,DPBOM000003150,철의장,F5,,D7,2022-11-06,2022-09-19
